Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1896,GBR,0,21.0,188.0,102.0,6,5,1,4,0,0,5
1896,GER,0,24.636363636363637,163.6818181818182,65.45454545454545,19,22,8,14,0,0,22
1896,USA,0,22.307692307692307,179.84615384615384,72.46153846153847,34,13,0,13,0,0,13
1900,AUS,0,23.0,178.0,71.0,7,4,0,4,0,0,4
1900,CAN,0,26.5,169.25,64.75,5,4,0,4,0,0,4
1900,FRA,5,21.6,169.6,69.2,12,5,0,3,2,0,5
1900,GBR,0,28.555555555555557,180.88888888888889,84.44444444444444,11,9,0,4,5,0,9
1900,GER,0,21.142857142857142,169.28571428571428,71.42857142857143,0,7,2,5,0,0,7
1900,HUN,0,18.0,187.0,83.0,5,3,0,0,3,0,3
1900,SWE,0,20.0,190.0,88.0,0,6,0,6,0,0,6
1900,USA,0,23.09090909090909,179.66666666666666,74.18181818181819,65,33,0,33,0,0,33
1904,CAN,0,25.5,174.33333333333334,70.83333333333333,12,6,0,4,2,0,6
1904,CUB,0,29.0,155.0,43.0,0,1,0,1,0,0,1
1904,GBR,0,24.0,187.0,83.0,2,1,0,1,0,0,1
1904,GER,0,25.3,176.0,73.8,5,10,3,7,0,0,10
1904,GRE,0,24.0,185.0,81.0,1,3,0,3,0,0,3
1904,HUN,0,23.0,187.0,83.0,8,2,0,0,2,0,2
1904,NFL,0,21.0,170.0,57.0,0,1,0,1,0,0,1
1904,USA,95,23.778947368421054,176.70526315789473,73.3578947368421,146,95,12,76,7,0,95
1906,AUS,0,27.0,167.0,62.0,0,3,0,3,0,0,3
1906,AUT,0,27.0,177.0,114.0,6,3,0,3,0,0,3
1906,CAN,0,24.0,176.66666666666666,69.33333333333333,4,3,0,3,0,0,3
1906,FIN,0,32.285714285714285,180.85714285714286,92.85714285714286,11,7,0,7,0,0,7
1906,FRA,0,25.9,170.3,68.6,5,10,0,10,0,0,10
1906,GBR,0,28.37037037037037,178.62962962962962,72.66666666666667,27,27,0,21,6,0,27
1906,GER,0,23.78048780487805,179.97560975609755,75.97560975609755,25,41,4,37,0,0,41
